name,label
issa barrey,issa barrey
issa jimaraou,issa jimaraou
iyad ag ghali,iyad ag ghali
جبر البنا,jaber a. elbaneh
jaber a. elbaneh,jaber a. elbaneh
jacfar,jafar
jafar,jafar
جمال سعيد عبدالرحيم,jamal saeed abdul rahim
jamal saeed abdul rahim,jamal saeed abdul rahim
jehad serwan mostafa,jehad serwan mostafa
jerel duane shaffer,jerel duane shaffer
جويل شروم,joel wesley shrum
joel wesley shrum,joel wesley shrum
قضية مقتل الدبلوماسي الأمريكي غرانفيل,john granville
john granville,john granville
junzō okudaira,junzō okudaira
kevin scott sutay,kevin scott sutay
خالد سعيد باطرفي,khalid saeed al-batarfi
khalid saeed al-batarfi,khalid saeed al-batarfi
خلیل حقانی,khalil al-rahman haqqani
khalil al-rahman haqqani,khalil al-rahman haqqani
خليل يوسف حرب,khalil yusif harb
khalil yusif harb,khalil yusif harb
macalin daauud,ma’alim daud
ma’alim daud,ma’alim daud
maalim ayman,maalim ayman
macalim salmaan,maalim salman
maalim salman,maalim salman
cabdirahman maxamed warsame,mahad karate
mahad karate,mahad karate
مالك أبو عبدالكريم,malik abou abdelkarim
malik abou abdelkarim,malik abou abdelkarim
منگل باغ,mangal bagh
mangal bagh,mangal bagh
manssor arbabsiar,manssor arbabsiar
marat valeryevich tyukov,marat valeryevich tyukov
مارک رندل فریریچز,mark randall frerichs
mark randall frerichs,mark randall frerichs
mark rich,mark rich
mikhail mikhailovich gavrilov,mikhail mikhailovich gavrilov
محمد مكاوي ابراهيم محمد,mohamed makawi ibrahim mohamed
mohamed makawi ibrahim mohamed,mohamed makawi ibrahim mohamed
mohamed rage,mohamed rage
محمد ابراهيم بزي,mohammad ibrahim bazzi
mohammad ibrahim bazzi,mohammad ibrahim bazzi
محمد علي حمادي,mohammed ali hamadei
mohammed ali hamadei,mohammed ali hamadei
محمد عثمان يوسف محمد,mohanad osman yousif mohamed
mohanad osman yousif mohamed,mohanad osman yousif mohamed
معتز نعمان عبد نايف نجم الجبوري,mu‘taz numan ‘abd nayif najm al-jaburi
mu‘taz numan ‘abd nayif najm al-jaburi,mu‘taz numan ‘abd nayif najm al-jaburi
مفتی نور ولی محسود,mufti noor wali mehsud
mufti noor wali mehsud,mufti noor wali mehsud
محمد عبدالله خليل حسين الرحايل,muhammad abdullah khalil hussain ar-rahayyal
muhammad abdullah khalil hussain ar-rahayyal,muhammad abdullah khalil hussain ar-rahayyal
محمد أحمد المنور,muhammad ahmed al-munawar
muhammad ahmed al-munawar,muhammad ahmed al-munawar
أبو محمد الجولاني,muhammad al-jawlani
muhammad al-jawlani,muhammad al-jawlani
محمد جعفر قصير,muhammad ja'far qasir
muhammad ja'far qasir,muhammad ja'far qasir
محمد كوثراني,muhammad kawtharani
muhammad kawtharani,muhammad kawtharani
muxamed khadir muusa ramadaan,muhammad khadir musa ramadan (abu bakr al-gharib)
محمد موسى خضر رمضان,muhammad khadir musa ramadan (abu bakr al-gharib)
muhammad khadir musa ramadan (abu bakr al-gharib),muhammad khadir musa ramadan (abu bakr al-gharib)
muhammad qasim al-bazzal,muhammad qasim al-bazzal
mirad qarayîlan,murat karayilan
murat karayilan,murat karayilan
musa aşoğlu,musa asoglu
musa asoglu,musa asoglu
noé suárez rojas,noé suárez rojas
illiasou djibo,ousmane illiassou djibo
ousmane illiassou djibo,ousmane illiassou djibo
pavel aleksandrovich akulov,pavel aleksandrovich akulov
pavel valeryevich frolov,pavel valeryevich frolov
peter kilburn,peter kilburn
petr nikolayevich pliskin,petr nikolayevich pliskin
poula n'gordie,poula n’gordie
radullan sahiron,radullan sahiron
رمضان عبد الله شالة,ramadan abdullah mohammad shallah
ramadan abdullah mohammad shallah,ramadan abdullah mohammad shallah
rick tenenoff,rick tenenoff
باب لوینسن,robert a. levinson
robert a. levinson,robert a. levinson
سعد بن عاطف العولقي,sa’ad bin atef al-awlaki
sa’ad bin atef al-awlaki,sa’ad bin atef al-awlaki
sajid mir,sajid mir
sajjad kashian,sajjad kashian
صالح العاروري,salih al-aruri
salih al-aruri,salih al-aruri
سليم جميل عيّاش,salim jamil ayyash
salim jamil ayyash,salim jamil ayyash
سلمان رؤوف سلمان,salman raouf salman
salman raouf salman,salman raouf salman
سامي العريدي,sami al-uraydi
sami al-uraydi,sami al-uraydi
سامي جاسم محمد الجبوري,sami jasim muhammad al-jaburi
sami jasim muhammad al-jaburi,sami jasim muhammad al-jaburi
ثناء الله غفاري,sanaullah ghafari
sanaullah ghafari,sanaullah ghafari
سيف العدل,sayf al-adl
sayf al-adl,sayf al-adl
seher demir şen,seher demir sen
seher demir sen,seher demir sen
seka musa baluku,seka musa baluku
sergey vladimirovich detistov,sergey vladimirovich detistov
seyyed mohammad hosein musa kazemi,seyyed mohammad hosein musa kazemi
سراج الدین حقانی,sirajuddin haqqani
sirajuddin haqqani,sirajuddin haqqani
steve welsh,steve welsh
tahil sali,tahil sali
طلال حمية,talal hamiyah
talal hamiyah,talal hamiyah
tareck zaidan el aissami maddah,tareck zaidan el aissami maddah
thomas hargrove,thomas hargrove
timothy van dyke,timothy van dyke
ودود محمد حافظ التركي,wadoud muhammad hafiz al-turki
wadoud muhammad hafiz al-turki,wadoud muhammad hafiz al-turki
william buckley,william buckley
یحیی حقانی,yahya haqqani
yahya haqqani,yahya haqqani
ياسين السوري,yasin al-suri
yasin al-suri,yasin al-suri
yaasin kilwe,yasin kilwe
yusef ali miraj,yusef ali miraj
zerrin sarı,zerrin sari
زياد رشدي النخالة,ziyad al-nakhalah
زياد النخالة,ziyad al-nakhalah
ziyad al-nakhalah,ziyad al-nakhalah
aris sumarsono,zulkarnaen
zulkarnaen,zulkarnaen
suellen tennyson,suellen tennyson
